,lnno,mrtg_status,quarter,amt_upb_endg,amt_upb_pch,code_st,rate_int,rate_dcr
262,411504,500,2016-03-31,,28700000.0,GA,0.029295,1.416
334,690946,100,2016-03-31,4655021.94,5300000.0,CO,0.0612,1.165
368,779487,100,2016-03-31,9410060.46,9800000.0,NC,0.0601,1.368
405,870968,100,2016-03-31,11636295.98,12328207.0,PA,0.0555,1.591
523,1275002,100,2016-03-31,8102098.98,10400000.0,TX,0.0618,1.415
607,1870968,100,2016-03-31,16524668.74,17305468.0,PA,0.0565,1.574
642,2099940,100,2016-03-31,3150000.0,3150000.0,SC,0.0558,1.935
937,3096940,100,2016-03-31,2514029.21,3100000.0,ND,0.0546,1.397
1150,3278002,100,2016-03-31,882288.99,1104300.0,NH,0.0663,1.651
1181,3411504,100,2016-03-31,4994208.31,5300000.0,MN,0.0615,1.429
1204,3438534,100,2016-03-31,43625838.22,47000000.0,NY,0.0669,3.363
1498,4274002,100,2016-03-31,2253662.52,2975000.0,ND,0.0673,1.766
1697,4872968,100,2016-03-31,1109295.83,1327000.0,MD,0.0699,1.2
1736,5097940,100,2016-03-31,11575000.0,11575000.0,IN,0.0602,1.515
1918,5274002,100,2016-03-31,2067483.97,4800000.0,MO,0.0638,1.619
1983,5278002,100,2016-03-31,920162.95,1151702.0,NH,0.0663,1.651
2122,5780487,100,2016-03-31,8800000.0,8800000.0,CA,0.0561,1.465
2147,5872968,100,2016-03-31,754774.12,902000.0,MD,0.0704,1.0
2335,6278002,100,2016-03-31,925992.49,1159000.0,NH,0.0663,1.651
2448,6691946,100,2016-03-31,3066134.18,3450000.0,MS,0.0645,1.181
2482,6779487,100,2016-03-31,1813865.44,2000000.0,VA,0.029405,1.393
2500,6805708,100,2016-03-31,3575933.42,3790000.0,MS,0.0573,1.3
2559,6872968,100,2016-03-31,314504.67,928592.0,MD,0.0537,1.002
2731,7258942,100,2016-03-31,53684846.13,62487000.0,CA,0.0547,1.15
2774,7271002,100,2016-03-31,1886329.3,2500000.0,VA,0.0574,1.605
2813,7272002,100,2016-03-31,9539620.54,12500000.0,MD,0.0554,1.927
2885,7278002,100,2016-03-31,678315.33,849000.0,NH,0.0663,1.653
3048,8258942,100,2016-03-31,10576727.78,12300000.0,CA,0.029405,1.516
3138,8272002,100,2016-03-31,1899123.38,3100000.0,TN,0.0545,1.67
3257,8414504,100,2016-03-31,33042808.19,36445000.0,CO,0.0569,1.341
3285,8415504,100,2016-03-31,4703386.32,5150000.0,LA,0.064,1.256
3311,8418504,100,2016-03-31,26170782.38,28542367.0,MA,0.0642,1.929
3343,8824708,100,2016-03-31,1987657.56,2000000.0,CA,0.0566,5.736
3413,9098940,100,2016-03-31,4426870.76,4800000.0,TX,0.0588,1.571
3660,9278002,100,2016-03-31,1862881.0,2331637.0,NH,0.0663,1.731
