,loan_id,dlq_status_text,distributiondate,actual_balance,original_note_amount,state,note_rate,dscr_(ncf)
0,708125468,100,01/25/2017,878000000,878000000,CA,0.0333,2.74
1,968717748,100,01/25/2017,346775934,531485000,NY,0.0577,1.708
2,300591001,100,01/25/2017,237275941,240469000,VA,0.0372,1.78
3,491000001,100,01/25/2017,223836151,241500000,MD,0.042,1.5
4,10073935,100,01/25/2017,196132619,200000000,IL,0.0329,1.42
5,30310067,100,01/25/2017,190526000,190526000,CO,0.025837,3.29
6,10061547,100,01/25/2017,190000000,190000000,CA,0.0414,2.66
7,303681001,100,01/25/2017,186000000,186000000,IL,0.0347,2.184
8,300501001,100,01/25/2017,169854439,177750000,TX,0.0308,1.587
9,303171001,100,01/25/2017,165000000,165000000,NY,0.034,2.47
10,300921001,100,01/25/2017,162500000,162500000,CA,0.0338,3.112
11,300911001,100,01/25/2017,162500000,162500000,CA,0.0338,3.112
12,10098664,100,01/25/2017,161300000,161300000,NY,0.0362,1.83
13,10082643,100,01/25/2017,156241124,157500000,FL,0.0417,1.7
14,300701001,100,01/25/2017,150768668,162723600,CA,0.0337,1.37
15,300651001,100,01/25/2017,149634963,161500000,CA,0.0337,1.334
16,820102595,100,01/25/2017,144842093,159000000,NY,0.0376,1.525
17,30268870,100,01/25/2017,138816658,150863000,NY,0.0534,1.26
18,10063232,100,01/25/2017,131745169,135647000,NY,0.0423,1.06
19,302841101,100,01/25/2017,130500000,130500000,CA,0.026637,2.823
20,501164341,100,01/25/2017,130202626,135000000,MD,0.0387,1.563
21,434000001,100,01/25/2017,130181979,138935000,CA,0.0569,2.115
22,305131001,100,01/25/2017,127000000,127000000,VA,0.0321,1.857
23,30288538,100,01/25/2017,125871595,138621000,NY,0.0392,1.57
24,820103391,100,01/25/2017,123000000,123000000,NY,0.0341,2.488
25,10091330,100,01/25/2017,121016791,126840000,CA,0.0393,1.34
26,30304047,100,01/25/2017,120780000,120780000,MD,0.0344,2.33
27,10062928,100,01/25/2017,119795000,119795000,MD,0.0376,1.916
28,30283191,100,01/25/2017,119544130,133360000,NY,0.0507,1.6
29,889100001,100,01/25/2017,118239769,122773000,VA,0.0453,1.207
30,10096467,100,01/25/2017,118000000,118000000,IL,0.0322,2.28
31,30268927,100,01/25/2017,115510459,125000000,CA,0.0542,1.76
32,30268847,100,01/25/2017,115356571,130000000,MA,0.0551,1.272
33,10073627,100,01/25/2017,113996790,120000000,NY,0.0304,2.11
34,300651002,100,01/25/2017,111703880,112860000,NY,0.0374,1.962
35,10069447,100,01/25/2017,110209294,120422000,CA,0.0306,1.43
36,10100817,100,01/25/2017,109870753,112313000,MD,0.0308,1.36
37,30308279,100,01/25/2017,109788188,116425000,CA,0.0301,1.48
38,534378366,100,01/25/2017,108639349,121434000,NY,0.055,1.808
39,303841001,100,01/25/2017,107200000,107200000,TX,0.0381,1.563
40,10060769,100,01/25/2017,105000000,105000000,NY,0.0466,2.13
41,10073687,100,01/25/2017,101318332,107000000,NY,0.0401,1.62
42,860100001,100,01/25/2017,100841513,101671000,DC,0.0488,1.516
43,30285024,100,01/25/2017,98179075,110000000,NY,0.0441,1.23
44,10081426,100,01/25/2017,96362042,103800000,CA,0.0337,1.4
45,304991015,100,01/25/2017,95166000,95166000,NJ,0.024937,2.681
46,30309059,100,01/25/2017,93322000,93322000,TX,0.024037,3.37
47,833100001,100,01/25/2017,93151432,98800000,MA,0.0359,1.339
48,651100001,100,01/25/2017,91971319,103545000,NY,0.0427,1.77
49,300060001,100,01/25/2017,91670000,91670000,NY,0.0369,1.33
50,10073017,100,01/25/2017,90151189,90675000,MD,0.0384,1.85
51,30309079,100,01/25/2017,90000000,90000000,NJ,0.024937,2.92
52,968720110,100,01/25/2017,89656520,100000000,NY,0.0534,1.605
53,10063214,100,01/25/2017,88109961,93050000,VA,0.0385,1.2
54,10093491,100,01/25/2017,87500000,87500000,IL,0.0366,2.36
55,10093491,100,01/25/2017,87500000,87500000,CO,0.0366,2.36
56,30309569,100,01/25/2017,87000000,87000000,VA,0.027737,2.49
57,304991016,100,01/25/2017,87000000,87000000,MD,0.025437,2.901
