,loan_id,published_date,current_balance,original_balance,property_state,orig_int_rate,orig_dscr,orig_ltv,special_servicer,freddie_held,principal_paydown,label
0,708125468,2017-01-25,878000000,878000000,CA,0.0333,2.27,0.524,"berkeley_point_capital,_llc",0.0,0,0.0
1,968717748,2017-01-25,346775934,531485000,NY,0.0577,1.14,0.687,wells_fargo_bank,0.0,184709066,0.0
2,300591001,2017-01-25,237275941,240469000,VA,0.0372,1.25,0.718,cwcapital,0.0,3193059,0.0
3,491000001,2017-01-25,223836151,241500000,MD,0.042,1.5,0.7,wells_fargo_bank,0.0,17663849,0.0
4,10073935,2017-01-25,196132619,200000000,IL,0.0329,1.31,0.647,wells_fargo_bank,0.0,3867381,0.0
5,30310067,2017-01-25,190526000,190526000,CO,0.025837,1.5,0.738,cwcapital,0.0,0,0.0
6,10061547,2017-01-25,190000000,190000000,CA,0.0414,1.979,0.543,wells_fargo_bank,0.0,0,1.0
7,303681001,2017-01-25,186000000,186000000,IL,0.0347,2.09,0.62,wells_fargo_bank,0.0,0,0.0
8,300501001,2017-01-25,169854439,177750000,TX,0.0308,1.35,0.75,midland_loan_services,0.0,7895561,0.0
9,303171001,2017-01-25,165000000,165000000,NY,0.034,2.32,0.561,cwcapital,0.0,0,0.0
10,300921001,2017-01-25,162500000,162500000,CA,0.0338,2.56,0.492,wells_fargo_bank,0.0,0,0.0
11,300911001,2017-01-25,162500000,162500000,CA,0.0338,2.56,0.492,keybank,0.0,0,0.0
12,10098664,2017-01-25,161300000,161300000,NY,0.0362,1.94,0.409,wells_fargo_bank,0.0,0,0.0
13,10082643,2017-01-25,156241124,157500000,FL,0.0417,1.26,0.685,wells_fargo_bank,0.0,1258876,0.0
14,300701001,2017-01-25,150768668,162723600,CA,0.0337,1.25,0.608,keybank,0.0,11954932,0.0
15,300651001,2017-01-25,149634963,161500000,CA,0.0337,1.25,0.608,cwcapital,0.0,11865037,0.0
16,820102595,2017-01-25,144842093,159000000,NY,0.0376,1.274,0.739,keybank,0.0,14157907,0.0
17,30268870,2017-01-25,138816658,150863000,NY,0.0534,1.251,0.66,"berkeley_point_capital,_llc",0.0,12046342,0.0
18,10063232,2017-01-25,131745169,135647000,NY,0.0423,1.25,0.658,midland_loan_services,0.0,3901831,1.0
19,302841101,2017-01-25,130500000,130500000,CA,0.026637,3.08,0.623,midland_loan_services,0.0,0,0.0
20,501164341,2017-01-25,130202626,135000000,MD,0.0387,1.445,0.608,berkadia,0.0,4797374,0.0
21,434000001,2017-01-25,130181979,138935000,CA,0.0569,1.25,0.686,cwcapital,0.0,8753021,0.0
22,305131001,2017-01-25,127000000,127000000,VA,0.0321,1.2,0.668,keybank,0.0,0,0.0
23,30288538,2017-01-25,125871595,138621000,NY,0.0392,1.25,0.725,keybank,0.0,12749405,0.0
24,820103391,2017-01-25,123000000,123000000,NY,0.0341,1.42,0.698,keybank,0.0,0,0.0
25,10091330,2017-01-25,121016791,126840000,CA,0.0393,1.25,0.598,"berkeley_point_capital,_llc",0.0,5823209,0.0
26,30304047,2017-01-25,120780000,120780000,MD,0.0344,1.25,0.719,midland_loan_services,0.0,0,0.0
27,10062928,2017-01-25,119795000,119795000,MD,0.0376,1.916,0.65,torchlight,0.0,0,0.0
28,30283191,2017-01-25,119544130,133360000,NY,0.0507,1.25,0.794,cwcapital,0.0,13815870,0.0
29,889100001,2017-01-25,118239769,122773000,VA,0.0453,1.201,0.639,midland_loan_services,0.0,4533231,0.0
30,10096467,2017-01-25,118000000,118000000,IL,0.0322,2.16,0.546,wells_fargo_bank,0.0,0,0.0
31,30268927,2017-01-25,115510459,125000000,CA,0.0542,1.35,0.653,keybank,0.0,9489541,0.0
32,30268847,2017-01-25,115356571,130000000,MA,0.0551,1.272,0.665,"berkeley_point_capital,_llc",0.0,14643429,0.0
33,10073627,2017-01-25,113996790,120000000,NY,0.0304,1.77,0.4,wells_fargo_bank,0.0,6003210,0.0
34,300651002,2017-01-25,111703880,112860000,NY,0.0374,1.25,0.661,cwcapital,0.0,1156120,0.0
35,10069447,2017-01-25,110209294,120422000,CA,0.0306,1.25,0.675,wells_fargo_bank,0.0,10212706,0.0
36,10100817,2017-01-25,109870753,112313000,MD,0.0308,1.3,0.772,wells_fargo_bank,0.0,2442247,0.0
37,30308279,2017-01-25,109788188,116425000,CA,0.0301,1.4,0.586,wells_fargo_bank,0.0,6636812,0.0
38,534378366,2017-01-25,108639349,121434000,NY,0.055,1.35,0.725,cwcapital,0.0,12794651,0.0
39,303841001,2017-01-25,107200000,107200000,TX,0.0381,1.26,0.78,midland_loan_services,0.0,0,0.0
