,loan_id,published_date,current_balance,original_balance,property_state,orig_int_rate,orig_dscr,orig_ltv,special_servicer,freddie_held,principal_paydown,label,orig_occ_rate,most_rct_occ_rate,occ_rate_delta,orig_noi,most_rct_noi,noi_delta,most_rct_value,orig_value,value_delta,most_rct_ltv,ltv_delta,most_rct_debt_serv,orig_debt_serv,debt_serv_delta,most_rct_dscr,dscr_delta
0,708125468,2017-01-25,878000000,878000000,CA,0.0333,2.27,0.524,"berkeley_point_capital,_llc",0.0,0,0.0,0.977,0.97,-0.007,68071000.0,61830621,-6240379.0,1675000000,1675572519.08,-572519.083969,0.524179104478,0.000179104477612,22334125.0,29987224.6696,-7653099.6696,2.74,0.47
1,968717748,2017-01-25,346775934,531485000,NY,0.0577,1.14,0.687,wells_fargo_bank,0.0,184709066,0.0,0.99,0.99,0.0,53972547.0,35805543,-18167004.0,770000000,773631732.169,-3631732.16885,0.450358355844,-0.236641644156,20447649.0,47344339.4737,-26896690.4737,1.708,0.568
2,300591001,2017-01-25,237275941,240469000,VA,0.0372,1.25,0.718,cwcapital,0.0,3193059,0.0,0.976,0.96,-0.016,16947583.0,12330581,-4617002.0,335000000,334915041.783,84958.2172702,0.708286391045,-0.00971360895522,6802267.0,13558066.4,-6755799.4,1.78,0.53
3,491000001,2017-01-25,223836151,241500000,MD,0.042,1.5,0.7,wells_fargo_bank,0.0,17663849,0.0,0.845,0.0,-0.845,19779113.0,0,-19779113.0,0,345000000.0,-345000000.0,inf,inf,0.0,13186075.3333,-13186075.3333,0.0,-1.5
4,10073935,2017-01-25,196132619,200000000,IL,0.0329,1.31,0.647,wells_fargo_bank,0.0,3867381,0.0,0.927,0.97,0.043,14356127.0,7131533,-7224594.0,302800000,309119010.819,-6319010.81917,0.647729917437,0.000729917437252,4940658.03,10958875.5725,-6018217.54252,1.42,0.11
5,30310067,2017-01-25,190526000,190526000,CO,0.025837,1.5,0.738,cwcapital,0.0,0,0.0,0.954,0.91,-0.044,0.0,15443451,15443451.0,258000000,258165311.653,-165311.653117,0.738472868217,0.000472868217054,4574039.72,0.0,4574039.72,3.29,1.79
6,10061547,2017-01-25,190000000,190000000,CA,0.0414,1.979,0.543,wells_fargo_bank,0.0,0,0.0,0.922,0.91,-0.012,17213716.0,16321532,-892184.0,350000000,349907918.969,92081.0313075,0.542857142857,-0.000142857142857,6008750.0,8698188.98434,-2689438.98434,2.66,0.681
7,303681001,2017-01-25,186000000,186000000,IL,0.0347,2.09,0.62,wells_fargo_bank,0.0,0,0.0,0.936,0.93,-0.006,13927391.89,10902005,-3025386.89,300000000,300000000.0,0.0,0.62,0.0,4930292.0,6663823.87081,-1733531.87081,2.184,0.094
8,300501001,2017-01-25,169854439,177750000,TX,0.0308,1.35,0.75,midland_loan_services,0.0,7895561,0.0,0.966,0.0,-0.966,12758783.95,0,-12758783.95,237000000,237000000.0,0.0,0.716685396624,-0.0333146033755,0.0,9450951.07407,-9450951.07407,0.0,-1.35
9,303171001,2017-01-25,165000000,165000000,NY,0.034,2.32,0.561,cwcapital,0.0,0,0.0,0.987,0.97,-0.017,13360039.26,14246880,886840.74,294000000,294117647.059,-117647.058824,0.561224489796,0.000224489795918,5703500.0,5758637.61207,-55137.612069,2.47,0.15
