
####--------------------GradientBoostingClassifier Grid Search----------#####

### Tuning hyper-parameters for f1
Best parameters set found on development set for GradientBoostingClassifier: {'loss': 'deviance', 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'friedman_mse', 'max_features': 40, 'min_samples_split': 4, 'max_depth': 5}
Grid scores on development set:
0.043 (+/-0.112) for {'loss': 'deviance', 'n_estimators': 50, 'subsample': 0.5, 'init': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'friedman_mse', 'max_features': 10, 'min_samples_split': 2, 'max_depth': 3}
0.000 (+/-0.000) for {'loss': 'deviance', 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'friedman_mse', 'max_features': 10, 'min_samples_split': 2, 'max_depth': 3}
0.026 (+/-0.065) for {'loss': 'deviance', 'n_estimators': 100, 'subsample': 0.5, 'init': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'friedman_mse', 'max_features': 10, 'min_samples_split': 2, 'max_depth': 3}
0.034 (+/-0.083) for {'loss': 'deviance', 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'friedman_mse', 'max_features': 10, 'min_samples_split': 2, 'max_depth': 3}
0.055 (+/-0.152) for {'loss': 'deviance', 'n_estimators': 200, 'subsample': 0.5, 'init': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'friedman_mse', 'max_features': 10, 'min_samples_split': 2, 'max_depth': 3}
0.018 (+/-0.073) for {'loss': 'deviance', 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'friedman_mse', 'max_features': 10, 'min_samples_split': 2, 'max_depth': 3}
0.015 (+/-0.062) for {'loss': 'deviance', 'n_estimators': 50, 'subsample': 0.5, 'init': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'friedman_mse', 'max_features': 10, 'min_samples_split': 4, 'max_depth': 3}
0.000 (+/-0.000) for {'loss': 'deviance', 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'friedman_mse', 'max_features': 10, 'min_samples_split': 4, 'max_depth': 3}
0.030 (+/-0.074) for {'loss': 'deviance', 'n_estimators': 100, 'subsample': 0.5, 'init': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'friedman_mse', 'max_features': 10, 'min_samples_split': 4, 'max_depth': 3}
