
####--------------------GradientBoostingClassifier Grid Search----------#####

### Tuning hyper-parameters for f1
Best parameters set found on development set for GradientBoostingClassifier: {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 10}
Grid scores on development set:
0.050 (+/-0.133) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.034 (+/-0.084) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.031 (+/-0.076) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.017 (+/-0.070) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.000 (+/-0.000) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.035 (+/-0.139) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.030 (+/-0.119) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.036 (+/-0.089) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.028 (+/-0.110) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.077 (+/-0.162) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.031 (+/-0.123) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.013 (+/-0.052) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.032 (+/-0.128) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.000 (+/-0.000) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.000 (+/-0.000) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.017 (+/-0.070) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.069 (+/-0.135) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.080 (+/-0.155) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.034 (+/-0.083) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.017 (+/-0.070) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.064 (+/-0.124) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.065 (+/-0.121) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.035 (+/-0.085) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.032 (+/-0.079) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 3}
0.039 (+/-0.106) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.087 (+/-0.101) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.028 (+/-0.068) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.016 (+/-0.064) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.051 (+/-0.051) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.025 (+/-0.062) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.065 (+/-0.071) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.044 (+/-0.073) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.047 (+/-0.134) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.083 (+/-0.037) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.042 (+/-0.111) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.014 (+/-0.057) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.028 (+/-0.069) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.014 (+/-0.055) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.032 (+/-0.128) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.000 (+/-0.000) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.032 (+/-0.080) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.054 (+/-0.054) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.048 (+/-0.079) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.031 (+/-0.077) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.009 (+/-0.036) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.093 (+/-0.128) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.039 (+/-0.100) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.029 (+/-0.070) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 3}
0.040 (+/-0.066) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.027 (+/-0.067) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.029 (+/-0.072) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.015 (+/-0.059) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.063 (+/-0.088) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.072 (+/-0.036) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.068 (+/-0.075) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.043 (+/-0.070) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.013 (+/-0.052) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.048 (+/-0.087) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.096 (+/-0.114) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.043 (+/-0.071) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.053 (+/-0.053) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.024 (+/-0.059) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.042 (+/-0.069) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.014 (+/-0.055) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.037 (+/-0.062) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.065 (+/-0.137) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.029 (+/-0.070) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.031 (+/-0.076) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.101 (+/-0.106) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.053 (+/-0.054) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.037 (+/-0.061) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.059 (+/-0.114) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 3}
0.080 (+/-0.086) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.076 (+/-0.125) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.040 (+/-0.104) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.059 (+/-0.060) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.000 (+/-0.000) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.062 (+/-0.075) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.059 (+/-0.111) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
